epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.59,1.00466,2.35445,0.93988,0.6311,0.69087,0.70541,0.54566,0.86014,1.24704,0.86911,0.0700497,0.00332781,0.00332781
2,475.446,0.89244,1.19687,0.89459,0.83914,0.80826,0.88482,0.70223,0.77395,0.86638,0.84833,0.0399178,0.00652926,0.00652926
3,714.783,0.89987,0.97809,0.89209,0.89546,0.86524,0.92922,0.76357,0.69623,0.72242,0.83772,0.00965389,0.0095987,0.0095987
4,952.853,0.86561,0.84586,0.88242,0.92624,0.8997,0.95405,0.78289,0.69707,0.62323,0.83522,0.009406,0.009406,0.009406
5,1189.25,0.80819,0.74022,0.87046,0.94219,0.90803,0.96135,0.80801,0.64089,0.56402,0.82413,0.009208,0.009208,0.009208
6,1425.36,0.77175,0.67984,0.86169,0.94857,0.93026,0.96822,0.82078,0.60864,0.51498,0.81771,0.00901,0.00901,0.00901
7,1661.05,0.74615,0.63373,0.8548,0.95692,0.93361,0.97115,0.81945,0.62764,0.484,0.81829,0.008812,0.008812,0.008812
8,1896.37,0.73193,0.59808,0.85188,0.95242,0.93959,0.97247,0.82966,0.59756,0.46476,0.8152,0.008614,0.008614,0.008614
9,2134.17,0.71172,0.57554,0.84883,0.95879,0.9352,0.97385,0.83261,0.58912,0.45311,0.81257,0.008416,0.008416,0.008416
10,2371.04,0.70309,0.55231,0.84501,0.96067,0.93727,0.97517,0.83928,0.57399,0.43728,0.80998,0.008218,0.008218,0.008218
11,2607.15,0.69155,0.5412,0.84344,0.96716,0.94231,0.97556,0.84112,0.5758,0.4251,0.8089,0.00802,0.00802,0.00802
12,2843.08,0.68417,0.52007,0.84152,0.96598,0.94355,0.97634,0.83825,0.58546,0.41653,0.80916,0.007822,0.007822,0.007822
13,3079.61,0.67595,0.51699,0.83868,0.96678,0.94398,0.97781,0.84925,0.54884,0.41013,0.80647,0.007624,0.007624,0.007624
14,3315.11,0.66312,0.49708,0.83737,0.96853,0.94272,0.97691,0.84936,0.55664,0.40055,0.8041,0.007426,0.007426,0.007426
15,3551.49,0.66246,0.49188,0.83538,0.96488,0.94513,0.97743,0.84882,0.54884,0.39951,0.80409,0.007228,0.007228,0.007228
16,3787.41,0.64749,0.47916,0.83353,0.97195,0.9459,0.97971,0.85096,0.54891,0.38064,0.80343,0.00703,0.00703,0.00703
17,4024.7,0.64334,0.47576,0.83437,0.97208,0.94239,0.97658,0.84835,0.55665,0.38343,0.80384,0.006832,0.006832,0.006832
18,4261.43,0.64228,0.46567,0.83277,0.96382,0.95211,0.9812,0.84467,0.57304,0.38001,0.8052,0.006634,0.006634,0.006634
19,4500.18,0.62774,0.45337,0.82961,0.96351,0.95491,0.98146,0.85731,0.53471,0.36843,0.80245,0.006436,0.006436,0.006436
20,4743.77,0.62982,0.4519,0.82976,0.96575,0.95747,0.98302,0.85578,0.54226,0.36739,0.80261,0.006238,0.006238,0.006238
21,4981.32,0.62415,0.44284,0.82859,0.96145,0.95767,0.98083,0.85375,0.54044,0.36501,0.80123,0.00604,0.00604,0.00604
22,5227.87,0.61872,0.43568,0.82733,0.96715,0.95073,0.98147,0.85769,0.53434,0.36396,0.80048,0.005842,0.005842,0.005842
23,5474.89,0.61362,0.43026,0.82689,0.96309,0.95851,0.98282,0.86083,0.53392,0.35351,0.80008,0.005644,0.005644,0.005644
24,5721.47,0.61039,0.42567,0.8261,0.96978,0.95434,0.98252,0.85897,0.53131,0.35128,0.79975,0.005446,0.005446,0.005446
25,5956.88,0.60797,0.42505,0.82552,0.96751,0.95628,0.98439,0.86342,0.5229,0.34585,0.79926,0.005248,0.005248,0.005248
26,6191.8,0.60593,0.4196,0.82533,0.97405,0.95818,0.98456,0.86268,0.53022,0.34167,0.79977,0.00505,0.00505,0.00505
27,6426.73,0.60274,0.41729,0.82448,0.97149,0.95601,0.98292,0.86318,0.52723,0.34479,0.79872,0.004852,0.004852,0.004852
28,6661.68,0.59763,0.41055,0.82293,0.96989,0.95521,0.9839,0.86282,0.52503,0.34509,0.79853,0.004654,0.004654,0.004654
29,6899.24,0.59266,0.40738,0.82257,0.96652,0.95409,0.98325,0.86153,0.5325,0.34073,0.79898,0.004456,0.004456,0.004456
