timestamp,pressed_key,finger_name,hand_used,finger_x,finger_y,key_x1,key_y1,key_x2,key_y2,dx,dy,distance,norm_dx,norm_dy,norm_distance,rule_based_label
1761264406.2371292,c,middle,left,559,391,535,389,571,429,6,-18,18.973665961010276,0.0046875,-0.025,0.012919518047804147,Correct
1761264408.4686296,u,middle,right,698,328,677,299,714,337,3,10,10.44030650891055,0.00234375,0.013888888888888888,0.0071089966822255,Incorrect
1761264409.857863,f,index,left,584,372,556,345,592,383,10,8,12.806248474865697,0.0078125,0.011111111111111112,0.008720010072680867,Correct
1761264411.2123013,f,index,left,585,368,556,345,592,383,11,4,11.704699910719626,0.00859375,0.005555555555555556,0.007969945399661813,Correct
1761264416.7827628,e,middle,left,541,350,500,302,536,341,23,29,37.013511046643494,0.01796875,0.04027777777777778,0.025203180290112297,Correct
1761264418.2712383,e,middle,left,528,327,500,302,536,341,10,6,11.661903789690601,0.0078125,0.008333333333333333,0.007940804733901876,Correct
1761264420.0389566,space,thumb,left,614,467,512,432,791,477,-37,13,39.21734310225516,-0.02890625,0.018055555555555554,0.026703810061676388,Correct
1761264420.818969,b,index,left,598,365,623,387,661,427,-44,-42,60.8276253029822,-0.034375,-0.058333333333333334,0.041418648590201196,Correct
1761264421.6271014,space,thumb,left,621,471,512,432,791,477,-30,17,34.48187929913333,-0.0234375,0.02361111111111111,0.023479345680629694,Incorrect
1761264423.0824175,c,index,left,581,358,535,389,571,429,28,-51,58.180752831155424,0.021875,-0.07083333333333333,0.039616344452441346,Incorrect
1761264423.9926922,o,ring,right,795,318,765,296,804,335,11,3,11.40175425099138,0.00859375,0.004166666666666667,0.0077636641292733784,Incorrect
1761264429.4391997,q,ring,left,418,333,409,304,447,344,-10,9,13.45362404707371,-0.0078125,0.0125,0.009160820003984391,Incorrect
