model,training_time_sec,inference_time_ms_per_sample,precision,storage_MB,maintainability_index,early_stopped
MLP,50.244,0.025,0.8128,0.1775,97.72,FALSE
TCN,71.769,0.037,0.9975,0.0507,99.4,FALSE
BiLSTM-CRF,55.79,0.028,0.9942,0.0828,99.4,FALSE
GRU,56.767,0.029,0.995,0.0791,99,FALSE
TCN-Attention,81.859,0.043,0.9958,0.0509,99.4,FALSE
CNN-BiLSTM,82.04,0.04,0.995,0.3493,95.48,TRUE
Temporal-Transformer,157.389,0.056,0.9896,0.2871,96.39,FALSE
Transformer,156.76,0.05,0.9962,0.2869,96.39,FALSE

MLP,50.244,0.025,0.8128,0.1775,97.72,
BiLSTM-CRF,55.79,0.028,0.9942,0.0828,99.4,
GRU,56.767,0.029,0.995,0.0791,99,

